Code,Name,StationTogether1,StationTogether2,LineCode1,LineCode2,LineCode3,LineCode4,LineCode5,Lat,Lon,Address.Street,Address.City,Address.State,Address.Zip,Line,Order
F01,Gallery Pl-Chinatown,B01,,GR,RD,YL,---,---,38.89834,-77.021851,630 H St. NW,Washington,DC,20001,Green,11
F02,Archives-Navy Memorial-Penn Quarter,,,GR,YL,---,---,---,38.893893,-77.021902,701 Pennsylvania Avenue NW,Washington,DC,20004,Green,12
F03,L'Enfant Plaza,D03,,GR,BL,OR,SV,YL,38.884775,-77.021964,600 Maryland Avenue SW,Washington,DC,20024,Green,13
F04,Waterfront,,,GR,---,---,---,---,38.876221,-77.017491,399 M Street SW,Washington,DC,20024,Green,14
F05,Navy Yard-Ballpark,,,GR,---,---,---,---,38.876588,-77.005086,200 M Street SE,Washington,DC,20003,Green,15
F06,Anacostia,,,GR,---,---,---,---,38.862072,-76.995648,1101 Howard Road SE,Washington,DC,20020,Green,16
F07,Congress Heights,,,GR,---,---,---,---,38.845334,-76.98817,1290 Alabama Avenue SE,Washington,DC,20020,Green,17
F08,Southern Avenue,,,GR,---,---,---,---,38.840974,-76.97536,1411 Southern Avenue,Temple Hills,MD,20748,Green,18
F09,Naylor Road,,,GR,---,---,---,---,38.851187,-76.956565,3101 Branch Avenue,Temple Hills,MD,20748,Green,19
F10,Suitland,,,GR,---,---,---,---,38.843891,-76.932022,4500 Silver Hill Road,Suitland,MD,20746,Green,20
F11,Branch Ave,,,GR,---,---,---,---,38.826995,-76.912134,4704 Old Soper Road,Suitland,MD,20746,Green,21
K08,Vienna/Fairfax-GMU,,,OR,---,---,---,---,38.877693,-77.271562,9550 Saintsbury Drive,Fairfax,VA,22031,Orange,1
K07,Dunn Loring-Merrifield,,,OR,---,---,---,---,38.883015,-77.228939,2700 Gallows Road,Vienna,VA,22180,Orange,2
K06,West Falls Church-VT/UVA,,,OR,---,---,---,---,38.90067,-77.189394,7040 Haycock Road,Falls Church,VA,22043,Orange,3
