FIPS,County/Equivalent,Federal District Court,Public Attorney Search,State
06113,"Yolo County, CA",Eastern District of California,Yes,California
06115,"Yuba County, CA",Eastern District of California,Yes,California
08001,"Adams County, CO",District of Colorado,Yes,Colorado
08003,"Alamosa County, CO",District of Colorado,Yes,Colorado
08005,"Arapahoe County, CO",District of Colorado,Yes,Colorado
08007,"Archuleta County, CO",District of Colorado,Yes,Colorado
08009,"Baca County, CO",District of Colorado,Yes,Colorado
08011,"Bent County, CO",District of Colorado,Yes,Colorado
08013,"Boulder County, CO",District of Colorado,Yes,Colorado
08014,"Broomfield County/city, CO",District of Colorado,Yes,Colorado
08015,"Chaffee County, CO",District of Colorado,Yes,Colorado
08017,"Cheyenne County, CO",District of Colorado,Yes,Colorado
08019,"Clear Creek County, CO",District of Colorado,Yes,Colorado
08021,"Conejos County, CO",District of Colorado,Yes,Colorado
08023,"Costilla County, CO",District of Colorado,Yes,Colorado
08025,"Crowley County, CO",District of Colorado,Yes,Colorado
08027,"Custer County, CO",District of Colorado,Yes,Colorado
08029,"Delta County, CO",District of Colorado,Yes,Colorado
08031,"Denver County/city, CO",District of Colorado,Yes,Colorado
08033,"Dolores County, CO",District of Colorado,Yes,Colorado
08035,"Douglas County, CO",District of Colorado,Yes,Colorado
08037,"Eagle County, CO",District of Colorado,Yes,Colorado
08039,"Elbert County, CO",District of Colorado,Yes,Colorado
08041,"El Paso County, CO",District of Colorado,Yes,Colorado
08043,"Fremont County, CO",District of Colorado,Yes,Colorado
08045,"Garfield County, CO",District of Colorado,Yes,Colorado
08047,"Gilpin County, CO",District of Colorado,Yes,Colorado
08049,"Grand County, CO",District of Colorado,Yes,Colorado
08051,"Gunnison County, CO",District of Colorado,Yes,Colorado
08053,"Hinsdale County, CO",District of Colorado,Yes,Colorado
08055,"Huerfano County, CO",District of Colorado,Yes,Colorado
08057,"Jackson County, CO",District of Colorado,Yes,Colorado
08059,"Jefferson County, CO",District of Colorado,Yes,Colorado
08061,"Kiowa County, CO",District of Colorado,Yes,Colorado
08063,"Kit Carson County, CO",District of Colorado,Yes,Colorado
08065,"Lake County, CO",District of Colorado,Yes,Colorado
08067,"La Plata County, CO",District of Colorado,Yes,Colorado
08069,"Larimer County, CO",District of Colorado,Yes,Colorado
08071,"Las Animas County, CO",District of Colorado,Yes,Colorado
08073,"Lincoln County, CO",District of Colorado,Yes,Colorado
08075,"Logan County, CO",District of Colorado,Yes,Colorado
08077,"Mesa County, CO",District of Colorado,Yes,Colorado
08079,"Mineral County, CO",District of Colorado,Yes,Colorado
08081,"Moffat County, CO",District of Colorado,Yes,Colorado
08083,"Montezuma County, CO",District of Colorado,Yes,Colorado
08085,"Montrose County, CO",District of Colorado,Yes,Colorado
08087,"Morgan County, CO",District of Colorado,Yes,Colorado
08089,"Otero County, CO",District of Colorado,Yes,Colorado
08091,"Ouray County, CO",District of Colorado,Yes,Colorado
08093,"Park County, CO",District of Colorado,Yes,Colorado
08095,"Phillips County, CO",District of Colorado,Yes,Colorado
08097,"Pitkin County, CO",District of Colorado,Yes,Colorado
08099,"Prowers County, CO",District of Colorado,Yes,Colorado
08101,"Pueblo County, CO",District of Colorado,Yes,Colorado
08103,"Rio Blanco County, CO",District of Colorado,Yes,Colorado
08105,"Rio Grande County, CO",District of Colorado,Yes,Colorado
08107,"Routt County, CO",District of Colorado,Yes,Colorado
08109,"Saguache County, CO",District of Colorado,Yes,Colorado
08111,"San Juan County, CO",District of Colorado,Yes,Colorado
08113,"San Miguel County, CO",District of Colorado,Yes,Colorado
08115,"Sedgwick County, CO",District of Colorado,Yes,Colorado
08117,"Summit County, CO",District of Colorado,Yes,Colorado
08119,"Teller County, CO",District of Colorado,Yes,Colorado
08121,"Washington County, CO",District of Colorado,Yes,Colorado
08123,"Weld County, CO",District of Colorado,Yes,Colorado
08125,"Yuma County, CO",District of Colorado,Yes,Colorado
09001,"Fairfield County, CT",District of Connecticut,No,Connecticut
09003,"Hartford County, CT",District of Connecticut,No,Connecticut
09005,"Litchfield County, CT",District of Connecticut,No,Connecticut
09007,"Middlesex County, CT",District of Connecticut,No,Connecticut
09009,"New Haven County, CT",District of Connecticut,No,Connecticut
09011,"New London County, CT",District of Connecticut,No,Connecticut
09013,"Tolland County, CT",District of Connecticut,No,Connecticut
09015,"Windham County, CT",District of Connecticut,No,Connecticut
10001,"Kent County, DE",District of Delaware,No,Delaware
10003,"New Castle County, DE",District of Delaware,No,Delaware
10005,"Sussex County, DE",District of Delaware,No,Delaware
11001,District of Columbia,District of Columbia,Yes,District of Columbia
12001,"Alachua County, FL",Northern District of Florida,No,Florida
12003,"Baker County, FL",Middle District of Florida,Yes,Florida
12005,"Bay County, FL",Northern District of Florida,No,Florida
12007,"Bradford County, FL",Middle District of Florida,Yes,Florida
12009,"Brevard County, FL",Middle District of Florida,Yes,Florida
12011,"Broward County, FL",Southern District of Florida,Yes,Florida
12013,"Calhoun County, FL",Northern District of Florida,No,Florida
12015,"Charlotte County, FL",Middle District of Florida,Yes,Florida
12017,"Citrus County, FL",Middle District of Florida,Yes,Florida
12019,"Clay County, FL",Middle District of Florida,Yes,Florida
12021,"Collier County, FL",Middle District of Florida,Yes,Florida
12023,"Columbia County, FL",Middle District of Florida,Yes,Florida
12027,"DeSoto County, FL",Middle District of Florida,Yes,Florida
12029,"Dixie County, FL",Northern District of Florida,No,Florida
